Variable / Field Name,Form Name,Section Header,Field Type,Field Label,"Choices, Calculations, OR Slider Labels",Field Note,Text Validation Type OR Show Slider Number,Text Validation Min,Text Validation Max,Identifier?,Branching Logic (Show field only if...),Required Field?,Custom Alignment,Question Number (surveys only),Matrix Group Name,Matrix Ranking?,Field Annotation
subnormprep2,prep_subjective_norms,,radio,<u>My friends</u> would think it was smart if I used PrEP,"1, Strongly disagree | 2, Disagree | 3, Neutral | 4, Agree | 5, Strongly agree | -999, Decline or missing",,,,,,,y,,,subnormprep_matrix,,
subnormprep3,prep_subjective_norms,,radio,<u>My friends</u> would think it was responsible if I used PrEP,"1, Strongly disagree | 2, Disagree | 3, Neutral | 4, Agree | 5, Strongly agree | -999, Decline or missing",,,,,,,y,,,subnormprep_matrix,,
subnormprep4,prep_subjective_norms,,radio,<u>My sexual partner(s)</u> would be supportive of me using PrEP,"1, Strongly disagree | 2, Disagree | 3, Neutral | 4, Agree | 5, Strongly agree | -999, Decline or missing",,,,,,,y,,,subnormprep_matrix,,
subnormprep5,prep_subjective_norms,,radio,<u>My sexual partner(s)</u> would think it was smart if I used PrEP,"1, Strongly disagree | 2, Disagree | 3, Neutral | 4, Agree | 5, Strongly agree | -999, Decline or missing",,,,,,,y,,,subnormprep_matrix,,
subnormprep6,prep_subjective_norms,,radio,<u>My sexual partner(s)</u> would think it was responsible if I used PrEP,"1, Strongly disagree | 2, Disagree | 3, Neutral | 4, Agree | 5, Strongly agree | -999, Decline or missing",,,,,,,y,,,subnormprep_matrix,,
subnormstest_intro,hiv_testing_subjective_norms,,descriptive,"<div class=""rich-text-field-label""><h6>Please indicate the extent to which different people in your life would support you testing for HIV. For each group of people, please choose the response that indicates the degree to which they think you should receive HIV testing.</h6></div>",,,,,,,,,,,,,
subnormtest1,hiv_testing_subjective_norms,,radio,People I know,"1, Definitely should not test<br>1</br> | 2, 2 | 3, 3 | 4, 4 | 5, Definitely should test<br>5</br> | -999, Decline to answer",,,,,,,y,,,subnormtest_matrix,,
subnormtest2,hiv_testing_subjective_norms,,radio,Close friends,"1, Definitely should not test<br>1</br> | 2, 2 | 3, 3 | 4, 4 | 5, Definitely should test<br>5</br> | -999, Decline to answer",,,,,,,y,,,subnormtest_matrix,,
subnormtest3,hiv_testing_subjective_norms,,radio,Casual sex partner(s),"1, Definitely should not test<br>1</br> | 2, 2 | 3, 3 | 4, 4 | 5, Definitely should test<br>5</br> | -999, Decline to answer",,,,,,,y,,,subnormtest_matrix,,
subnormtest4,hiv_testing_subjective_norms,,radio,Regular sex partner(s),"1, Definitely should not test<br>1</br> | 2, 2 | 3, 3 | 4, 4 | 5, Definitely should test<br>5</br> | -999, Decline to answer",,,,,,,y,,,subnormtest_matrix,,
subnormtest5,hiv_testing_subjective_norms,,radio,Family,"1, Definitely should not test<br>1</br> | 2, 2 | 3, 3 | 4, 4 | 5, Definitely should test<br>5</br> | -999, Decline to answer",,,,,,,y,,,subnormtest_matrix,,
subnormbh1,bh_treatment_subjective_norms,,radio,Most people who are important to me would think that I should seek help from a psychologist in the next 3 months,"1, Disagree<br>1</br> | 2, 2 | 3, 3 | 4, 4 | 5, 5 | 6, 6 | 7, Agree<br>7</br> | -999, Decline to answer",,,,,,,y,,,subnormbh_matrix,,
subnormbh2,bh_treatment_subjective_norms,,radio,Most people who are important to me would expect me to seek help from a psychologist in the next 3 months.,"1, Disagree<br>1</br> | 2, 2 | 3, 3 | 4, 4 | 5, 5 | 6, 6 | 7, Agree<br>7</br> | -999, Decline to answer",,,,,,,y,,,subnormbh_matrix,,
subnormbh3,bh_treatment_subjective_norms,,radio,The people in my life whose opinions I value would approve of my seeking help from a psychologist in the next 3 months,"1, Disagree<br>1</br> | 2, 2 | 3, 3 | 4, 4 | 5, 5 | 6, 6 | 7, Agree<br>7</br> | -999, Decline to answer",,,,,,,y,,,subnormbh_matrix,,
subnormbh4,bh_treatment_subjective_norms,,radio,I would feel under social pressure to seek help from a psychologist in the next 3 months.,"1, Disagree<br>1</br> | 2, 2 | 3, 3 | 4, 4 | 5, 5 | 6, 6 | 7, Agree<br>7</br> | -999, Decline to answer",,,,,,,y,,,subnormbh_matrix,,
subnormbh5,bh_treatment_subjective_norms,,radio,People who mean something to me would think I should seek help from a psychologist in the next 3 months.,"1, Disagree<br>1</br> | 2, 2 | 3, 3 | 4, 4 | 5, 5 | 6, 6 | 7, Agree<br>7</br> | -999, Decline to answer",,,,,,,y,,,subnormbh_matrix,,
subnormbh6,bh_treatment_subjective_norms,,radio,People who are important to me would wish for me to seek help from a psychologist in the next 3 months.,"1, Disagree<br>1</br> | 2, 2 | 3, 3 | 4, 4 | 5, 5 | 6, 6 | 7, Agree<br>7</br> | -999, Decline to answer",,,,,,,y,,,subnormbh_matrix,,
subnormbh7,bh_treatment_subjective_norms,,radio,"Most people who are important to me, if they were dealing with this issue, would seek help from a psychologist in the next 3 months.","1, Disagree<br>1</br> | 2, 2 | 3, 3 | 4, 4 | 5, 5 | 6, 6 | 7, Agree<br>7</br> | -999, Decline to answer",,,,,,,y,,,subnormbh_matrix,,
subnormbh8,bh_treatment_subjective_norms,,radio,"The people in my life whose opinions I value, if they were dealing with this issue, would seek help from a psychologist in the next 3 months.","1, Disagree<br>1</br> | 2, 2 | 3, 3 | 4, 4 | 5, 5 | 6, 6 | 7, Agree<br>7</br> | -999, Decline to answer",,,,,,,y,,,subnormbh_matrix,,
subnormbh9,bh_treatment_subjective_norms,,radio,"People who mean something to me, if they were dealing with this issue, would seek help from a psychologist in the next 3 months.","1, Disagree<br>1</br> | 2, 2 | 3, 3 | 4, 4 | 5, 5 | 6, 6 | 7, Agree<br>7</br> | -999, Decline to answer",,,,,,,y,,,subnormbh_matrix,,
subnormbh10,bh_treatment_subjective_norms,,radio,"People who are important to me, if they were dealing with this issue, would seek help from a psychologist in the next 3 months","1, Disagree<br>1</br> | 2, 2 | 3, 3 | 4, 4 | 5, 5 | 6, 6 | 7, Agree<br>7</br> | -999, Decline to answer",,,,,,,y,,,subnormbh_matrix,,
norms_hivtest,perceived_community_norms,,radio,Approximately how many people who you know have had a recent HIV test (recent means in the past 6 months)?,"0, Don't know | 1, None | 2, Few | 3, Half | 4, All or almost all | -999, Decline to answer",,,,,,,y,,,norms_matrix,,
norms_prep,perceived_community_norms,,radio,Approximately how many people who you know have taken PrEP to prevent getting HIV?,"0, Don't know | 1, None | 2, Few | 3, Half | 4, All or almost all | -999, Decline to answer",,,,,,,y,,,norms_matrix,,
norms_bhtx,perceived_community_norms,,radio,Approximately how many people who you know have ever received mental health counseling or substance use treatment?,"0, Don't know | 1, None | 2, Few | 3, Half | 4, All or almost all | -999, Decline to answer",,,,,,,y,,,norms_matrix,,
prepstig_intro,prep_stigma,,descriptive,"<div class=""rich-text-field-label""><h6>Do you agree or disagree with the following statements?</h6></div>",,,,,,,,,,,,,
prepstig_prom,prep_stigma,,radio,People who take PrEP are promiscuous,"1, Strongly disagree | 2, Disagree | 3, Neutral | 4, Agree | 5, Strongly agree | -999, Decline to answer",,,,,,,y,,,prepstig_matrix,,
prepstig_embar,prep_stigma,,radio,Getting a PrEP prescription from a doctor would be embarrassing,"1, Strongly disagree | 2, Disagree | 3, Neutral | 4, Agree | 5, Strongly agree | -999, Decline to answer",,,,,,,y,,,prepstig_matrix,,
prepstig_friend,prep_stigma,,radio,"If I were to take PrEP, I would be concerned if my friends found out I was taking it","1, Strongly disagree | 2, Disagree | 3, Neutral | 4, Agree | 5, Strongly agree | -999, Decline to answer",,,,,,,y,,,prepstig_matrix,,
prepstig_family,prep_stigma,,radio,"If I were to take PrEP, I would be concerned if my family found out I was taking it","1, Strongly disagree | 2, Disagree | 3, Neutral | 4, Agree | 5, Strongly agree | -999, Decline to answer",,,,,,,y,,,prepstig_matrix,,
prepstig_partner,prep_stigma,,radio,"If I were to take PrEP, I would be concerned if my sexual partner(s) found out I was taking it","1, Strongly disagree | 2, Disagree | 3, Neutral | 4, Agree | 5, Strongly agree | -999, Decline to answer",,,,,,,y,,,prepstig_matrix,,
hivtest_stig_intro,hiv_testing_stigma,,descriptive,"<div class=""rich-text-field-label""><h6>People have different feelings and beliefs about taking an HIV test. Read the next few statements about HIV tests. Please select if you agree or disagree with the following statements.</h6></div>",,,,,,,,,,,,,
hivtest_stig_rep,hiv_testing_stigma,,radio,It would hurt my reputation if I test for HIV,"1, Strongly disagree | 2, Somewhat disagree | 3, Somewhat agree | 4, Strongly agree | -999, Decline to answer",,,,,,,y,,,hivtest_stig_matrix,,
hivtest_stig_family,hiv_testing_stigma,,radio,My family would treat me differently if I test for HIV,"1, Strongly disagree | 2, Somewhat disagree | 3, Somewhat agree | 4, Strongly agree | -999, Decline to answer",,,,,,,y,,,hivtest_stig_matrix,,
hivtest_stig_friend,hiv_testing_stigma,,radio,My friends would treat me differently if I test for HIV,"1, Strongly disagree | 2, Somewhat disagree | 3, Somewhat agree | 4, Strongly agree | -999, Decline to answer",,,,,,,y,,,hivtest_stig_matrix,,
hivtest_stig_sex,hiv_testing_stigma,,radio,People might find out I have had sex with men if I test for HIV,"1, Strongly disagree | 2, Somewhat disagree | 3, Somewhat agree | 4, Strongly agree | -999, Decline to answer",,,,,,,y,,,hivtest_stig_matrix,,
hivtest_stig_shame,hiv_testing_stigma,,radio,People might think I have done something to be ashamed of if I test for HIV,"1, Strongly disagree | 2, Somewhat disagree | 3, Somewhat agree | 4, Strongly agree | -999, Decline to answer",,,,,,,y,,,hivtest_stig_matrix,,
hivtest_stig_have,hiv_testing_stigma,,radio,People might think I have HIV if I test for HIV,"1, Strongly disagree | 2, Somewhat disagree | 3, Somewhat agree | 4, Strongly agree | -999, Decline to answer",,,,,,,y,,,hivtest_stig_matrix,,
bh_stig_intro,self_stigma_of_seeking_help,,descriptive,"<div class=""rich-text-field-label""><h6>People at times find that they face problems that they consider seeking help for. This can bring up reactions about what seeking help would mean. Please use the 5-point scale to rate the degree to which each item describes how you might react in this situation.</h6></div>",,,,,,,,,,,,,
bh_stig_1,self_stigma_of_seeking_help,,radio,I would feel inadequate if I went to a therapist for psychological help.,"1, Strongly Disagree | 2, Disagree | 3, Agree & Disagree Equally | 4, Agree | 5, Strongly Agree | -999, Decline to answer",,,,,,,y,,,bh_stig_matrix,,
bh_stig_2,self_stigma_of_seeking_help,,radio,My self-confidence would NOT be threatened if I sought professional help.,"1, Strongly Disagree | 2, Disagree | 3, Agree & Disagree Equally | 4, Agree | 5, Strongly Agree | -999, Decline to answer",,,,,,,y,,,bh_stig_matrix,,
bh_stig_3,self_stigma_of_seeking_help,,radio,Seeking psychological help would make me feel less intelligent.,"1, Strongly Disagree | 2, Disagree | 3, Agree & Disagree Equally | 4, Agree | 5, Strongly Agree | -999, Decline to answer",,,,,,,y,,,bh_stig_matrix,,
bh_stig_4,self_stigma_of_seeking_help,,radio,My self-esteem would increase if I talked to a therapist.,"1, Strongly Disagree | 2, Disagree | 3, Agree & Disagree Equally | 4, Agree | 5, Strongly Agree | -999, Decline to answer",,,,,,,y,,,bh_stig_matrix,,
bh_stig_5,self_stigma_of_seeking_help,,radio,My view of myself would not change just because I made the choice to see a therapist.,"1, Strongly Disagree | 2, Disagree | 3, Agree & Disagree Equally | 4, Agree | 5, Strongly Agree | -999, Decline to answer",,,,,,,y,,,bh_stig_matrix,,
bh_stig_6,self_stigma_of_seeking_help,,radio,It would make me feel inferior to ask a therapist for help.,"1, Strongly Disagree | 2, Disagree | 3, Agree & Disagree Equally | 4, Agree | 5, Strongly Agree | -999, Decline to answer",,,,,,,y,,,bh_stig_matrix,,
bh_stig_7,self_stigma_of_seeking_help,,radio,I would feel okay about myself if I made the choice to seek professional help.,"1, Strongly Disagree | 2, Disagree | 3, Agree & Disagree Equally | 4, Agree | 5, Strongly Agree | -999, Decline to answer",,,,,,,y,,,bh_stig_matrix,,
bh_stig_8,self_stigma_of_seeking_help,,radio,"If I went to a therapist, I would be less satisfied with myself.","1, Strongly Disagree | 2, Disagree | 3, Agree & Disagree Equally | 4, Agree | 5, Strongly Agree | -999, Decline to answer",,,,,,,y,,,bh_stig_matrix,,
bh_stig_9,self_stigma_of_seeking_help,,radio,My self-confidence would remain the same if I sought professional help for a problem I could not solve.,"1, Strongly Disagree | 2, Disagree | 3, Agree & Disagree Equally | 4, Agree | 5, Strongly Agree | -999, Decline to answer",,,,,,,y,,,bh_stig_matrix,,
bh_stig_10,self_stigma_of_seeking_help,,radio,I would feel worse about myself if I could not solve my own problems.,"1, Strongly Disagree | 2, Disagree | 3, Agree & Disagree Equally | 4, Agree | 5, Strongly Agree | -999, Decline to answer",,,,,,,y,,,bh_stig_matrix,,
prepeff_intro,prep_selfefficacy,,descriptive,"<div class=""rich-text-field-label""><h6>How difficult or easy would the following be?</h6></div>",,,,,,,,,,,,,
prepeff_info,prep_selfefficacy,,radio,How difficult would it be for you to seek out more information about PrEP to decide if it is right for you?,"1, Very hard to do | 2, Somewhat hard to do | 3, Somewhat easy to do | 4, Very easy to do | -999, Decline to answer",,,,,,,y,,,prepeff_matrix,,
prepeff_partner,prep_selfefficacy,,radio,How difficult would it be for you to talk with your sexual partner(s) about the decision to take PrEP?,"1, Very hard to do | 2, Somewhat hard to do | 3, Somewhat easy to do | 4, Very easy to do | -999, Decline to answer",,,,,,,y,,,prepeff_matrix,,
prepeff_doc,prep_selfefficacy,,radio,How difficult would it be for you to visit a doctor who can provide PrEP?,"1, Very hard to do | 2, Somewhat hard to do | 3, Somewhat easy to do | 4, Very easy to do | -999, Decline to answer",,,,,,,y,,,prepeff_matrix,,
prepeff_open,prep_selfefficacy,,radio,How difficult would it be for you to talk openly and honestly with a doctor about your sexual behaviors?,"1, Very hard to do | 2, Somewhat hard to do | 3, Somewhat easy to do | 4, Very easy to do | -999, Decline to answer",,,,,,,y,,,prepeff_matrix,,
prepeff_hivtest,prep_selfefficacy,,radio,How difficult would it be for you to get tested for HIV?,"1, Very hard to do | 2, Somewhat hard to do | 3, Somewhat easy to do | 4, Very easy to do | -999, Decline to answer",,,,,,,y,,,prepeff_matrix,,
prepeff_pay,prep_selfefficacy,,radio,How difficult would it be for you to find a way to pay for PrEP?,"1, Very hard to do | 2, Somewhat hard to do | 3, Somewhat easy to do | 4, Very easy to do | -999, Decline to answer",,,,,,,y,,,prepeff_matrix,,
prepeff_adhere,prep_selfefficacy,,radio,How difficult would it be for you to take a medicine like PrEP every day?,"1, Very hard to do | 2, Somewhat hard to do | 3, Somewhat easy to do | 4, Very easy to do | -999, Decline to answer",,,,,,,y,,,prepeff_matrix,,
prepeff_routine,prep_selfefficacy,,radio,How difficult would it be for you to visit a doctor every three months for routine screenings?,"1, Very hard to do | 2, Somewhat hard to do | 3, Somewhat easy to do | 4, Very easy to do | -999, Decline to answer",,,,,,,y,,,prepeff_matrix,,
hivtesteff_intro,hiv_testing_selfefficacy,,descriptive,"<div class=""rich-text-field-label""><h6>If you wanted to get an HIV test, there might be different things that would make it difficult.For each of the following questions, please indicate how certain you are that you could get an HIV test in the next month under various circumstances.</h6></div>",,,,,,,,,,,,,
hivtesteff_local,hiv_testing_selfefficacy,,radio,How certain are you that you could get tested for HIV at your local clinic?,"1, Extremely certain I could not | 2, Quite certain I could not | 3, Neither/not sure | 4, Quite certain I could | 5, Extremely certain I could | -999, Decline to answer",,,,,,,y,,,hivtesteff_matrix,,
hivtesteff_center,hiv_testing_selfefficacy,,radio,How certain are you that you could get tested at an HIV testing center?,"1, Extremely certain I could not | 2, Quite certain I could not | 3, Neither/not sure | 4, Quite certain I could | 5, Extremely certain I could | -999, Decline to answer",,,,,,,y,,,hivtesteff_matrix,,
hivtesteff_home,hiv_testing_selfefficacy,,radio,"How certain are you that you could get tested at home, using a kit?","1, Extremely certain I could not | 2, Quite certain I could not | 3, Neither/not sure | 4, Quite certain I could | 5, Extremely certain I could | -999, Decline to answer",,,,,,,y,,,hivtesteff_matrix,,
hivtesteff_fear,hiv_testing_selfefficacy,,radio,"If you feel fear about your HIV test results, how certain are you that you could be tested for HIV?","1, Extremely certain I could not | 2, Quite certain I could not | 3, Neither/not sure | 4, Quite certain I could | 5, Extremely certain I could | -999, Decline to answer",,,,,,,y,,,hivtesteff_matrix,,
